Domain,Subject,Competency,Description
Physical Development,PE,Basic Movements,Demonstrates control in running hopping jumping and throwing with growing coordination
Physical Development,Swimming,Water Safety,Enters and exits the pool safely and blows bubbles in the water
Social-Emotional and Ethical Development,,Emotional & Social Skills,Identifies feelings and manages them calmly; greets politely; listens respectfully; speaks truth; admits mistakes; takes turns; shows kindness
Cognitive Development,Maths,Number Sense,Counts up to 100 forward and backward; reads and writes numbers up to 100 in words and numerals
Cognitive Development,Maths,Addition Skills,Applies basic addition in daily activities; solves simple word problems
Cognitive Development,EVS,Living & Non-Living,Describes features of living and non-living things; names natural and man-made objects
Cognitive Development,EVS,Plants,Identifies kinds of plants; classifies them; recognizes plant parts we eat
Cognitive Development,EVS,Animals,Identifies types of animals their features young ones habitats and diets
Cognitive Development,EVS,Air,Identifies properties of air; describes importance of air in daily life
Language & Literacy Development,English,Listening & Speaking,Listens attentively; responds appropriately; expresses ideas clearly
Language & Literacy Development,English,Reading,Reads aloud stories and poems with accuracy; answers questions to show understanding
Language & Literacy Development,English,Grammar & Sentence Formation,Identifies and uses naming words common names special names and verbs; forms simple sentences with punctuation
Language & Literacy Development,English,Writing,Writes short meaningful sentences and creative compositions; expresses ideas clearly in writing
Language & Literacy Development,Second Language,Alphabet & Recognition,Identifies alphabet and related pictures
Language & Literacy Development,Second Language,Pronunciation & Rhymes,Pronounces letters correctly; recites rhymes or action songs; writes letters/words with correct formation
ICT,,Basic Computer Skills,Identifies computer parts; uses mouse and keyboard; performs simple tasks in MS Paint
Art,,Drawing & Coloring,Draws pictures of surroundings; uses appropriate colors
Dance,,Movement & Participation,Coordinates body parts with control; participates actively and joyfully
Music,,Singing,Sings with clear voice proper tone and pitch
